지점번호,지점명,관측시각,기온(C),풍속(m/s),풍향(deg),일사량(MJ/m2),일조시간(hr),전운량(0-10)
184,제주,2022-01-06 7:00,7.2,7.3,20,,,8
184,제주,2022-01-06 8:00,6.5,6.9,20,0,0,3
184,제주,2022-01-06 9:00,6.4,3.8,360,0.18,0.3,0
184,제주,2022-01-06 10:00,7.9,5.1,20,0.87,0.9,2
184,제주,2022-01-06 11:00,8.7,3.8,360,1.45,1,1
184,제주,2022-01-06 12:00,9.2,6.6,20,1.92,1,2
184,제주,2022-01-06 13:00,9.5,4,20,2.1,1,3
184,제주,2022-01-06 14:00,8.2,3.9,340,1.63,0.7,5
184,제주,2022-01-06 15:00,9.1,4.6,360,1.57,0.9,5
184,제주,2022-01-06 16:00,8.5,3.8,340,1.04,0.9,4
184,제주,2022-01-06 17:00,6.9,4.4,360,0.21,0.4,5
184,제주,2022-01-06 18:00,6.6,4.7,360,0,0,4
184,제주,2022-01-06 19:00,6.3,4.2,20,,,5
184,제주,2022-01-06 20:00,5.9,4.3,20,,,5
184,제주,2022-01-06 21:00,5.8,2.9,360,,,7
184,제주,2022-01-06 22:00,5.7,3.6,20,,,4
184,제주,2022-01-06 23:00,5.5,2.7,20,,,1
184,제주,2022-01-07 0:00,5.3,3.6,20,,,2
184,제주,2022-01-07 1:00,4.7,1.4,160,,,2
184,제주,2022-01-07 2:00,3.5,1.9,180,,,0
184,제주,2022-01-07 3:00,2.9,2.7,180,,,0
184,제주,2022-01-07 4:00,2.6,2.3,180,,,0
184,제주,2022-01-07 5:00,2.5,2,180,,,0
184,제주,2022-01-07 6:00,2.6,3,180,,,0
184,제주,2022-01-07 7:00,2.5,3.3,180,,,1
184,제주,2022-01-07 8:00,2.3,3,180,0,0,1
184,제주,2022-01-07 9:00,3.4,2.7,180,0.19,0.3,0
184,제주,2022-01-07 10:00,8.3,2.5,200,0.95,1,1
184,제주,2022-01-07 11:00,9.8,2.3,320,1.55,1,1
184,제주,2022-01-07 12:00,10,3.1,320,1.94,1,2
184,제주,2022-01-07 13:00,10,3.4,290,2.05,1,3
184,제주,2022-01-07 14:00,9.6,3,320,1.72,1,3
184,제주,2022-01-07 15:00,10.2,2.8,360,1.45,1,4
184,제주,2022-01-07 16:00,9.4,1.9,270,0.98,1,7
184,제주,2022-01-07 17:00,8.1,2.1,290,0.4,0.8,7
184,제주,2022-01-07 18:00,7,2,250,0.01,0,3
184,제주,2022-01-07 19:00,5.7,2.3,180,,,5
184,제주,2022-01-07 20:00,5,2.5,180,,,6
184,제주,2022-01-07 21:00,4.6,2.6,180,,,2
184,제주,2022-01-07 22:00,4.3,2.1,180,,,6
184,제주,2022-01-07 23:00,4.2,2.5,180,,,2
184,제주,2022-01-08 0:00,4,1.8,180,,,0
184,제주,2022-01-08 1:00,3.7,2.6,180,,,0
184,제주,2022-01-08 2:00,3.5,2,180,,,0
184,제주,2022-01-08 3:00,3.5,2.4,200,,,3
184,제주,2022-01-08 4:00,3.8,2,200,,,9
184,제주,2022-01-08 5:00,4.8,1.8,290,,,9
184,제주,2022-01-08 6:00,6,2.9,340,,,8
184,제주,2022-01-08 7:00,6.2,3,320,,,9
184,제주,2022-01-08 8:00,6.2,2.9,320,0,0,8
184,제주,2022-01-08 9:00,6.5,2.8,360,0.02,0,9
184,제주,2022-01-08 10:00,6.8,3.4,340,0.05,0,9
184,제주,2022-01-08 11:00,7.3,3.3,320,0.27,0,8
184,제주,2022-01-08 12:00,7.7,4,340,0.54,0,8
184,제주,2022-01-08 13:00,8.3,3.5,320,0.77,0,9
184,제주,2022-01-08 14:00,7.9,3.8,320,0.33,0,9
184,제주,2022-01-08 15:00,7.8,4.2,290,0.37,0,8
184,제주,2022-01-08 16:00,7.7,3.1,290,0.27,0,8
184,제주,2022-01-08 17:00,7.5,4.1,320,0.09,0,7
184,제주,2022-01-08 18:00,7.1,3.7,290,0,0,7
184,제주,2022-01-08 19:00,7.5,3.4,320,,,
184,제주,2022-01-08 20:00,7.5,3.6,340,,,
184,제주,2022-01-08 21:00,7.4,4.3,20,,,8
184,제주,2022-01-08 22:00,7.1,2.3,320,,,8
184,제주,2022-01-08 23:00,7.1,2.4,360,,,8
184,제주,2022-01-09 0:00,7.1,1.5,340,,,9
184,제주,2022-01-09 1:00,6.8,0.9,110,,,7
184,제주,2022-01-09 2:00,6,2.5,180,,,7
184,제주,2022-01-09 3:00,5.2,3.1,180,,,7
184,제주,2022-01-09 4:00,5.6,3.8,200,,,9
184,제주,2022-01-09 5:00,6,3.1,180,,,9
184,제주,2022-01-09 6:00,6.4,2.1,200,,,9
184,제주,2022-01-09 7:00,6.9,2.4,180,,,9
184,제주,2022-01-09 8:00,7.1,2.1,180,0,0,9
184,제주,2022-01-09 9:00,7.5,0.8,110,0,0,9
184,제주,2022-01-09 10:00,8.3,2.5,20,0.01,0,9
184,제주,2022-01-09 11:00,8.8,3.1,20,0.05,0,10
184,제주,2022-01-09 12:00,8.8,3.1,50,0.07,0,10
184,제주,2022-01-09 13:00,8.6,3.7,20,0.1,0,10
184,제주,2022-01-09 14:00,8.7,3.7,20,0.09,0,10
184,제주,2022-01-09 15:00,9.3,3.1,340,0.25,0,9
184,제주,2022-01-09 16:00,9.5,3.4,290,0.39,0.1,8
184,제주,2022-01-09 17:00,9.1,3.5,360,0.16,0,5
184,제주,2022-01-09 18:00,8.8,3.8,320,0.01,0,6
184,제주,2022-01-09 19:00,8.1,2.7,320,,,5
184,제주,2022-01-09 20:00,8.1,2.3,340,,,6
184,제주,2022-01-09 21:00,8,2.4,320,,,7
184,제주,2022-01-09 22:00,7.8,2.8,20,,,5
184,제주,2022-01-09 23:00,7.5,3.2,20,,,5
184,제주,2022-01-10 0:00,7.2,2.2,360,,,9
184,제주,2022-01-10 1:00,7.2,2.9,320,,,6
184,제주,2022-01-10 2:00,6.9,1.1,270,,,6
184,제주,2022-01-10 3:00,6.9,1.9,290,,,8
184,제주,2022-01-10 4:00,6.8,2,20,,,9
184,제주,2022-01-10 5:00,6.6,2,250,,,9
184,제주,2022-01-10 6:00,6.2,1.8,230,,,9
184,제주,2022-01-10 7:00,5.7,2,180,,,8
184,제주,2022-01-10 8:00,5.6,1.9,200,0,0,9
184,제주,2022-01-10 9:00,6.4,1.6,200,0.09,0,9
184,제주,2022-01-10 10:00,7.5,2.5,320,0.28,0,9
184,제주,2022-01-10 11:00,8.8,1,320,0.83,0.1,7
184,제주,2022-01-10 12:00,9.9,2.9,360,1.5,0.5,7
184,제주,2022-01-10 13:00,10,2.9,340,1.53,0.5,7
184,제주,2022-01-10 14:00,8.9,2.9,290,0.79,0.1,9
184,제주,2022-01-10 15:00,8.5,3.4,320,0.28,0,9
184,제주,2022-01-10 16:00,8.1,3.4,320,0.05,0,9
184,제주,2022-01-10 17:00,8.1,2.8,320,0.01,0,9
184,제주,2022-01-10 18:00,7.9,4,290,0,0,9
184,제주,2022-01-10 19:00,7.9,3.1,320,,,10
184,제주,2022-01-10 20:00,7.9,3,290,,,9
184,제주,2022-01-10 21:00,7.9,3.6,320,,,8
184,제주,2022-01-10 22:00,7.9,4.1,320,,,9
184,제주,2022-01-10 23:00,7.7,4.6,320,,,10
184,제주,2022-01-11 0:00,7.2,4.6,340,,,10
184,제주,2022-01-11 1:00,7.6,4.9,320,,,10
184,제주,2022-01-11 2:00,6.8,5.4,320,,,10
184,제주,2022-01-11 3:00,6.5,5.3,320,,,10
184,제주,2022-01-11 4:00,6.8,7.5,320,,,10
184,제주,2022-01-11 5:00,6,7.8,360,,,10
184,제주,2022-01-11 6:00,6.5,7.8,340,,,10
184,제주,2022-01-11 7:00,6,9.7,340,,,8
184,제주,2022-01-11 8:00,5.2,9.6,340,0,0,10
184,제주,2022-01-11 9:00,3.7,7.4,360,0.02,0,10
184,제주,2022-01-11 10:00,3.5,9.2,360,0.03,0,10
184,제주,2022-01-11 11:00,3.8,8.4,340,0.32,0,9
184,제주,2022-01-11 12:00,3.4,7.6,340,0.34,0,10
184,제주,2022-01-11 13:00,2.3,7.9,340,0.3,0,10
184,제주,2022-01-11 14:00,4.5,8.5,340,0.47,0.1,7
184,제주,2022-01-11 15:00,2.9,8,360,0.51,0.1,10
184,제주,2022-01-11 16:00,3.5,8,360,0.27,0.1,10
184,제주,2022-01-11 17:00,3.2,8.2,360,0.06,0,10
184,제주,2022-01-11 18:00,1.5,8.1,360,0,0,10
184,제주,2022-01-11 19:00,2.5,7.1,360,,,10
184,제주,2022-01-11 20:00,2.6,7.8,340,,,8
184,제주,2022-01-11 21:00,2.6,7,340,,,7
184,제주,2022-01-11 22:00,2.6,7.2,340,,,8
184,제주,2022-01-11 23:00,2.4,6.1,360,,,8
184,제주,2022-01-12 0:00,1.8,6.1,360,,,8
184,제주,2022-01-12 1:00,2,5.8,360,,,7
184,제주,2022-01-12 2:00,2,5.9,360,,,7
184,제주,2022-01-12 3:00,2,4.7,360,,,7
184,제주,2022-01-12 4:00,2.7,5.8,360,,,8
184,제주,2022-01-12 5:00,2.6,5.6,360,,,8
184,제주,2022-01-12 6:00,2.9,5.2,360,,,8
184,제주,2022-01-12 7:00,3.2,5.5,340,,,7
184,제주,2022-01-12 8:00,3.3,6,340,0,0,9
184,제주,2022-01-12 9:00,3.7,5.5,340,0.03,0,9
184,제주,2022-01-12 10:00,4,5.7,340,0.16,0,9
184,제주,2022-01-12 11:00,4.2,5,320,0.38,0,9
184,제주,2022-01-12 12:00,4.3,3.6,340,0.55,0,9
184,제주,2022-01-12 13:00,4.6,4.6,340,0.77,0.1,8
184,제주,2022-01-12 14:00,5,5.2,340,0.86,0.1,8
184,제주,2022-01-12 15:00,4.9,4.2,320,0.64,0.1,9
184,제주,2022-01-12 16:00,4.8,4.7,340,0.29,0,9
184,제주,2022-01-12 17:00,4.3,5.7,340,0.07,0,9
184,제주,2022-01-12 18:00,4.1,4.8,340,0,0,8
184,제주,2022-01-12 19:00,4,4.6,340,,,9
184,제주,2022-01-12 20:00,4.1,4,340,,,9
184,제주,2022-01-12 21:00,4.1,4.4,360,,,9
184,제주,2022-01-12 22:00,4.2,4.5,340,,,10
184,제주,2022-01-12 23:00,4.1,4.6,340,,,10
184,제주,2022-01-13 0:00,4.3,5.9,20,,,10
184,제주,2022-01-13 1:00,4.4,3.8,320,,,9
184,제주,2022-01-13 2:00,4.4,0.6,50,,,9
184,제주,2022-01-13 3:00,4.2,1.4,230,,,10
184,제주,2022-01-13 4:00,4.4,3.3,230,,,10
184,제주,2022-01-13 5:00,4,3.3,250,,,10
184,제주,2022-01-13 6:00,4.1,2.5,200,,,10
184,제주,2022-01-13 7:00,5.9,7,320,,,9
184,제주,2022-01-13 8:00,5.9,7.2,340,0,0,9
184,제주,2022-01-13 9:00,5.7,7,340,0.03,0,10
184,제주,2022-01-13 10:00,4.3,10,320,0.11,0,10
184,제주,2022-01-13 11:00,4.9,9.5,340,0.22,0,10
184,제주,2022-01-13 12:00,4.5,7.9,360,0.17,0,9
184,제주,2022-01-13 13:00,3.6,7.2,340,0.48,0.1,9
184,제주,2022-01-13 14:00,3.7,7.8,340,0.19,0,9
184,제주,2022-01-13 15:00,3.7,8.2,340,0.32,0,9
184,제주,2022-01-13 16:00,3.4,8.5,340,0.21,0,9
184,제주,2022-01-13 17:00,3.5,8.5,340,0.05,0,9
184,제주,2022-01-13 18:00,3.3,8.8,340,0.01,0,9
184,제주,2022-01-13 19:00,3.3,7.7,340,,,8
184,제주,2022-01-13 20:00,3.3,6.9,340,,,9
184,제주,2022-01-13 21:00,3.3,6.4,360,,,9
184,제주,2022-01-13 22:00,3.2,5.5,360,,,8
184,제주,2022-01-13 23:00,3.4,7,340,,,8
184,제주,2022-01-14 0:00,3.5,6.4,340,,,9
184,제주,2022-01-14 1:00,3.5,5.2,360,,,9
184,제주,2022-01-14 2:00,3.6,5.4,340,,,9
184,제주,2022-01-14 3:00,3.8,5.7,360,,,9
184,제주,2022-01-14 4:00,3.6,5.4,340,,,9
184,제주,2022-01-14 5:00,3.8,5.2,360,,,9
184,제주,2022-01-14 6:00,4,4.9,340,,,9
184,제주,2022-01-14 7:00,4.2,5.3,360,,,9
184,제주,2022-01-14 8:00,4.1,4.5,320,0,0,9
184,제주,2022-01-14 9:00,4.3,5.4,360,0.01,0,9
184,제주,2022-01-14 10:00,4.4,3.7,360,0.07,0,9
184,제주,2022-01-14 11:00,4.6,3.5,20,0.26,0,9
184,제주,2022-01-14 12:00,4.9,4.2,360,0.59,0,8
184,제주,2022-01-14 13:00,5.9,3.4,360,1.22,0.3,6
184,제주,2022-01-14 14:00,7.6,3.2,340,2.06,0.8,7
184,제주,2022-01-14 15:00,6.5,2.3,340,1.21,0.6,6
184,제주,2022-01-14 16:00,5.9,1.7,320,0.81,0.6,7
184,제주,2022-01-14 17:00,5.1,2.4,290,0.39,0.3,9
184,제주,2022-01-14 18:00,4.3,2.2,320,0.02,0,9
184,제주,2022-01-14 19:00,4.1,2.3,290,,,10
184,제주,2022-01-14 20:00,3.5,2.7,200,,,6
184,제주,2022-01-14 21:00,3.2,2.5,200,,,5
184,제주,2022-01-14 22:00,3.1,2.8,200,,,8
184,제주,2022-01-14 23:00,3.4,1.8,200,,,8
184,제주,2022-01-15 0:00,3.7,2.2,200,,,9
184,제주,2022-01-15 1:00,4.4,2.5,200,,,10
184,제주,2022-01-15 2:00,4.5,2.5,230,,,10
184,제주,2022-01-15 3:00,4.6,1.9,230,,,9
184,제주,2022-01-15 4:00,4.5,2.5,230,,,8
184,제주,2022-01-15 5:00,4.6,2.3,230,,,9
184,제주,2022-01-15 6:00,5,2.2,320,,,8
184,제주,2022-01-15 7:00,4.9,0.9,200,,,9
184,제주,2022-01-15 8:00,4.7,1.2,230,0,0,9
184,제주,2022-01-15 9:00,5.1,1.4,180,0.06,0,8
184,제주,2022-01-15 10:00,7.1,1,250,0.56,0.2,8
184,제주,2022-01-15 11:00,8.6,2,360,1.09,0.3,9
184,제주,2022-01-15 12:00,9.3,3,20,1.21,0,8
184,제주,2022-01-15 13:00,10.3,2.3,20,1.48,0.5,6
184,제주,2022-01-15 14:00,10.5,2.6,360,1.52,0.5,6
184,제주,2022-01-15 15:00,11.5,2.9,320,1.64,1,2
184,제주,2022-01-15 16:00,10.7,2.8,290,1.17,0.9,7
184,제주,2022-01-15 17:00,9.4,2.2,340,0.17,0,7
184,제주,2022-01-15 18:00,8.6,1.2,270,0.04,0.3,3
184,제주,2022-01-15 19:00,7.6,1.5,180,,,5
184,제주,2022-01-15 20:00,7.1,1.6,160,,,5
184,제주,2022-01-15 21:00,7.5,1.6,180,,,10
184,제주,2022-01-15 22:00,7.8,1.7,180,,,10
184,제주,2022-01-15 23:00,7.7,1.6,200,,,8
184,제주,2022-01-16 0:00,7.8,0.7,230,,,9
184,제주,2022-01-16 1:00,8.2,1.7,250,,,9
184,제주,2022-01-16 2:00,8.5,2.9,270,,,10
184,제주,2022-01-16 3:00,8.3,3.1,270,,,9
184,제주,2022-01-16 4:00,9.4,5.7,320,,,9
184,제주,2022-01-16 5:00,9.3,5.2,320,,,9
184,제주,2022-01-16 6:00,9.2,5.6,320,,,9
184,제주,2022-01-16 7:00,9.3,4.5,290,,,10
184,제주,2022-01-16 8:00,9.3,3.9,290,0,0,10
184,제주,2022-01-16 9:00,8.7,5.1,340,0.03,0,10
184,제주,2022-01-16 10:00,8.5,5.3,320,0.17,0,9
184,제주,2022-01-16 11:00,8.7,5.5,340,0.41,0,9
184,제주,2022-01-16 12:00,8.9,5.1,320,0.71,0.1,9
184,제주,2022-01-16 13:00,8.3,6.4,320,0.83,0.2,8
184,제주,2022-01-16 14:00,7.6,6.2,340,0.95,0.2,9
184,제주,2022-01-16 15:00,7.3,5.6,320,0.94,0.3,8
184,제주,2022-01-16 16:00,6.4,5.7,320,0.63,0.3,8
184,제주,2022-01-16 17:00,5.7,6,320,0.16,0,9
184,제주,2022-01-16 18:00,5.4,6,340,0.01,0,9
184,제주,2022-01-16 19:00,5,5.7,340,,,7
184,제주,2022-01-16 20:00,4.8,4.8,320,,,8
184,제주,2022-01-16 21:00,4.5,4.3,320,,,6
184,제주,2022-01-16 22:00,4.3,3.5,340,,,7
184,제주,2022-01-16 23:00,4.1,2.9,320,,,6
184,제주,2022-01-17 0:00,4,3.3,320,,,7
184,제주,2022-01-17 1:00,4.1,3.3,320,,,7
184,제주,2022-01-17 2:00,4.2,3.6,320,,,8
184,제주,2022-01-17 3:00,4.3,3.8,320,,,8
184,제주,2022-01-17 4:00,4.1,3.4,340,,,8
184,제주,2022-01-17 5:00,4.1,3.4,340,,,8
184,제주,2022-01-17 6:00,4.1,3.2,360,,,7
184,제주,2022-01-17 7:00,3.8,3,340,,,7
184,제주,2022-01-17 8:00,3.9,3,340,0,0,9
184,제주,2022-01-17 9:00,4.2,2.5,320,0.05,0,9
184,제주,2022-01-17 10:00,4.8,3.3,340,0.19,0,9
184,제주,2022-01-17 11:00,5.1,3.4,340,0.25,0,9
184,제주,2022-01-17 12:00,5.9,3.8,320,0.85,0.2,9
184,제주,2022-01-17 13:00,6.6,4.6,320,0.68,0.1,9
184,제주,2022-01-17 14:00,7.1,4.8,340,0.95,0.2,9
184,제주,2022-01-17 15:00,6.7,4.9,320,0.65,0.2,9
184,제주,2022-01-17 16:00,6.5,5.4,320,0.17,0,9
184,제주,2022-01-17 17:00,6.6,6.4,340,0.03,0,10
184,제주,2022-01-17 18:00,6.7,6.4,340,0,0,10
184,제주,2022-01-17 19:00,6.8,5.2,320,,,10
184,제주,2022-01-17 20:00,6.9,6,340,,,9
184,제주,2022-01-17 21:00,6.8,7.2,340,,,8
184,제주,2022-01-17 22:00,6.7,6.5,340,,,8
184,제주,2022-01-17 23:00,6.1,6.8,340,,,6
184,제주,2022-01-18 0:00,5.6,6.5,340,,,8
184,제주,2022-01-18 1:00,4.7,5.2,340,,,9
184,제주,2022-01-18 2:00,4.7,6.1,340,,,9
184,제주,2022-01-18 3:00,4.4,5.1,320,,,7
184,제주,2022-01-18 4:00,4.2,4.7,320,,,7
184,제주,2022-01-18 5:00,4,5,360,,,8
184,제주,2022-01-18 6:00,3.6,3.9,340,,,7
184,제주,2022-01-18 7:00,3.5,4.1,20,,,8
184,제주,2022-01-18 8:00,3.2,4.2,20,0,0,9
184,제주,2022-01-18 9:00,3.1,4.7,20,0.01,0,9
184,제주,2022-01-18 10:00,2.9,5.2,50,0.22,0,8
184,제주,2022-01-18 11:00,4.2,3.7,20,0.85,0.3,6
184,제주,2022-01-18 12:00,5.3,3.7,20,1.47,0.6,1
184,제주,2022-01-18 13:00,6.2,3.7,360,2.23,1,0
184,제주,2022-01-18 14:00,6.5,2.5,360,2.17,1,0
184,제주,2022-01-18 15:00,6.6,1.9,340,1.85,1,0
184,제주,2022-01-18 16:00,6.5,2,320,1.33,1,0
184,제주,2022-01-18 17:00,5.8,2.5,20,0.66,1,0
184,제주,2022-01-18 18:00,3.9,0.6,200,0.08,0.7,0
184,제주,2022-01-18 19:00,3.2,1.6,290,,,0
184,제주,2022-01-18 20:00,2.7,1.7,180,,,0
184,제주,2022-01-18 21:00,2.2,2.6,200,,,0
184,제주,2022-01-18 22:00,1.8,2.2,180,,,0
184,제주,2022-01-18 23:00,1.8,2.1,180,,,0
184,제주,2022-01-19 0:00,1.4,2.3,180,,,0
184,제주,2022-01-19 1:00,1.2,1.9,180,,,0
184,제주,2022-01-19 2:00,1.4,2.8,180,,,0
184,제주,2022-01-19 3:00,1.5,2.7,200,,,4
184,제주,2022-01-19 4:00,1.4,2,180,,,3
184,제주,2022-01-19 5:00,1.1,2.1,180,,,0
184,제주,2022-01-19 6:00,0.9,2.1,180,,,0
184,제주,2022-01-19 7:00,0.8,1.4,200,,,0
